coord,lon,lat,height,road_id,vegklasse,name,kommentar,is_real,is_generated,fiber_kabel,TK_kabel,uten_raate,tre_stolpe,staal_stolpe,LED,halogen,build_weight,build_weight4
[6.89316925e+05 7.78155247e+06 4.35207400e+00],19.981464859297745,70.07116650764583,4.352074,568827190_7DB5F5,0.1998,28.26,IKKE HOYDE PGA BUSKER,1,0,0,0,1,1,0,0,1,0.48677611636868245,0.5214932364587042
[6.89272319e+05 7.78154942e+06 6.35246200e+00],19.980290197026477,70.07117197551474,6.352462,568826938_F1710A,0.3996,28.27,,1,0,0,0,1,1,0,0,1,0.47011160734311624,0.4963974080876001
[6.89532272e+05 7.78163611e+06 3.91814600e+00],19.987284036202542,70.07175596434143,3.918146,568827200_4FE854,0.1998,22.89,3X FIBERKABEL. 1 TIL 28.1,1,0,2,0,0,1,0,0,1,0.3510261400103379,0.35995943206407816
[6.89571989e+05 7.78164024e+06 4.71262900e+00],19.988333061666395,70.0717637689656,4.712629,568827200_4FE854,0.1998,22.90,2X ARMATUR,1,0,2,0,0,1,0,0,1,0.28960776778819713,0.28153622494914243
[6.89612478e+05 7.78164439e+06 5.40004800e+00],19.98940233756582,70.07177120104129,5.400048,568827200_4FE854,0.1998,22.91,,1,0,2,0,0,1,0,0,1,0.2563175486709564,0.24597719075063731
[6.89659560e+05 7.78164918e+06 5.35189800e+00],19.990645607380767,70.07177940093833,5.351898,568827199_EFE34F,0.1998,22.92,,1,0,1,0,0,1,0,0,1,0.2505365128491564,0.24519064704123633
[6.89703322e+05 7.78165919e+06 5.18199800e+00],19.991813214203326,70.07183673979698,5.181998,568827199_EFE34F,0.1998,22.93,,1,0,1,0,0,1,0,0,1,0.3073608980369753,0.30517066204928645
[6.89747877e+05 7.78166914e+06 6.22420000e+00],19.99300144109067,70.07189296619322,6.2242,568807608_0E2338,0.5993999999999999,22.94,,1,0,1,0,0,1,0,0,1,0.44397898921665985,0.41674806069197334
[6.89791586e+05 7.78167877e+06 6.23964200e+00],19.9941668270596,70.07194693249899,6.239642,568807608_0E2338,0.5993999999999999,22.95,,1,0,1,0,0,1,0,0,1,0.5297394130758715,0.4437627922879501
[6.89837170e+05 7.78167727e+06 7.34330800e+00],19.995357366353343,70.07190002106243,7.343308,568807608_0E2338,0.5993999999999999,22.96,,1,0,0,0,0,1,0,0,1,0.4121838542871927,0.3335372331074953
[6.89888632e+05 7.78167451e+06 8.70305000e+00],19.996699161188463,70.07183765295251,8.70305,568807608_0E2338,0.5993999999999999,22.97,,1,0,0,0,0,1,0,0,1,0.31650328906660746,0.29098727905936556
[6.89934200e+05 7.78165729e+06 1.12289820e+01],19.997855438131744,70.07165037306508,11.228982,568807608_0E2338,0.5993999999999999,22.98,,1,0,0,0,0,1,0,0,1,0.3870542936166375,0.40572255445464644
[6.89971531e+05 7.78163630e+06 1.17063420e+01],19.998787862806598,70.0714354409352,11.706342,568807608_0E2338,0.5993999999999999,22.99,STROM TIL BAKKE AVKAPPET,1,0,0,0,0,1,0,0,1,0.384117663665338,0.4163651358949803
[6.90010693e+05 7.78160144e+06 1.04647950e+01],19.999738327340722,70.0710952184528,10.464795,568807608_0E2338,0.5993999999999999,22.100,,1,0,0,0,0,1,0,0,1,0.26773763558457864,0.29639823898768464
[6.90043659e+05 7.78157279e+06 1.02050580e+01],20.00053988903473,70.07081510068966,10.205058,795945105_87B8AA,0.1998,22.101,,1,0,0,0,0,1,0,0,1,0.23934942576827295,0.2597636366994836
[6.90080198e+05 7.78154554e+06 1.11321700e+01],20.001438042341867,70.07054482383016,11.13217,795945105_87B8AA,0.1998,22.102,STROM TIL BAKKE,1,0,0,0,0,1,0,0,1,0.24224683859641657,0.2528622699083984
[6.90107141e+05 7.78154731e+06 1.04022690e+01],20.002147382670863,70.07054085559253,10.402269,629923708_CC8C1E,0.3996,22.103,SKAP NEDE PAA STOLPE JEG ER GANSKE SIKKER PAA ER TENNSKAP,1,0,0,0,1,0,1,0,1,0.24368388108686923,0.2483275644839025
[6.90160515e+05 7.78152235e+06 1.05485860e+01],20.0034912638242,70.07027859871147,10.548586,591044473_0F7CE9,0.3996,22.104,2X ARMATUR. 1 HALOGEN OG 1 LED,1,0,0,0,1,0,1,0,1,0.1912928422563301,0.1883246321919062
